L_Ankle_Guide;[8.61499309539795, 18.25520896911621, -43.07001495361328];[90.0, 0.9276362945477827, -89.99999999999999]
L_Elbow_Guide;[9.829389999999998, 32.3086, 29.2969];[90.00000000000176, -16.659621686642822, -88.8740259480091]
L_FootBall_Guide;[8.61499309539795, 4.560512542724609, -43.29175567626953];[90.0, 0.9276362945477827, -89.99999999999999]
L_Hip_Guide;[8.61499309539795, 58.679107666015625, -34.45416259765625];[89.99999999999999, -19.35434344827175, -89.99999999999999]
L_Knee_Guide;[8.61499309539795, 35.08856201171875, -26.167743682861328];[90.00000000000004, 45.11704891169666, -90.00000000000003]
L_Shoulder_Guide;[7.34579, 50.536, 38.3975];[89.99999999999999, 26.32205828424683, -97.75917923216943]
L_Wrist_Guide;[9.46191, 13.611599999999996, 34.89300000000001];[90.00000000000176, -16.659621686642822, -88.87402594800912]
R_Ankle_Guide;[-8.61499309539795, 18.25520896911621, -43.07001495361328];[90.0, 0.9276362945477827, -89.99999999999999]
R_Elbow_Guide;[-9.82939306292118, 32.30863841771464, 29.296918869018555];[90.00000000000043, -16.659621686642836, -88.87402594800912]
R_FootBall_Guide;[-8.61499309539795, 4.560512542724609, -43.29175567626953];[90.0, 0.9276362945477827, -89.99999999999999]
R_Hip_Guide;[-8.61499309539795, 58.679107666015625, -34.45416259765625];[89.99999999999999, -19.354343448271745, -89.99999999999999]
R_Knee_Guide;[-8.61499309539795, 35.08856201171875, -26.167743682861328];[90.00000000000004, 45.11704891169666, -90.00000000000003]
R_Shoulder_Guide;[-7.345788478851318, 50.53596496582031, 38.39748001098633];[90.0, 26.322058284246825, -97.75917923216942]
R_Wrist_Guide;[-9.461912139530034, 13.611586415761511, 34.893024444580064];[90.00000000000043, -16.659621686642836, -88.87402594800912]
