C_Spine0_Guide;[0.0, 65.18708722309795, -27.080558391936425];[-14.948658349454526, 0.0, 0.0]
C_Spine1_Guide;[-0.49303667717680644, 65.65168959063517, -22.34668576051411];[-6.663269128315112, 0.0, 0.0]
C_Spine2_Guide;[0.0, 65.8817460889111, -17.819833296325996];[-5.646682447932001, 0.0, 0.0]
C_Spine3_Guide;[0.0, 65.99176183582892, -12.822851932152304];[0.0, 0.0, 0.0]
C_Spine4_Guide;[0.0, 66.30670148085922, -8.555831879116816];[0.0, 0.0, 0.0]
C_Spine5_Guide;[0.0, 65.98457777034633, -3.9470102140151173];[0.0, 0.0, 0.0]
C_Spine6_Guide;[0.0, 65.36417388725167, 0.24459611999990738];[2.7231095011935254, 0.0, 0.0]
C_Spine7_Guide;[0.0, 64.6488490461468, 4.743754344868821];[4.618007133794651, 0.0, 0.0]
C_Spine8_Guide;[0.0, 64.07288653449352, 8.513908859912865];[6.81994515223688, 0.0, 0.0]
C_Spine9_Guide;[1.4210854715202004e-14, 63.36253322715759, 12.095440411866944];[9.51762637103651, 0.0, 0.0]
C_Spine10_Guide;[0.0, 62.64082857457451, 15.181733335119397];[8.01040536386616, 0.0, 0.0]
C_Spine11_Guide;[7.105427357601002e-15, 61.987244751205765, 18.359546375597777];[9.423234441931214, 0.0, 0.0]
C_Spine12_Guide;[7.105427357601002e-15, 61.30531899939289, 21.194210124796165];[12.056497766849732, 0.0, 0.0]
C_Spine13_Guide;[7.105427357601002e-15, 60.2983375576908, 24.061887088997317];[11.730590207018626, 0.0, 0.0]
C_Spine14_Guide;[0.0, 59.482369738493574, 26.959065239948554];[12.907956936871491, 0.0, 0.0]
C_Spine15_Guide;[0.0, 58.63292926116555, 29.778984656402134];[9.112201282181227, 0.0, 0.0]
C_Spine16_Guide;[0.0, 57.68468721537928, 32.75870605311536];[0.0, 0.0, 0.0]
C_Spine17_Guide;[0.0, 57.205881917443634, 35.17922110944913];[0.0, 0.0, 0.0]
C_Spine18_Guide;[-1.0658141036401503e-14, 57.16765470502369, 37.796101609157546];[-3.9880434469913193, 0.0, 0.0]
L_Ankle_Guide;[8.61499309539795, 18.25520896911621, -43.07001495361328];[90.0, 0.9276362945477764, -89.99999999999999]
L_Elbow_Guide;[9.829389999999998, 32.3086, 29.2969];[90.00000000000176, -16.659621686642822, -88.8740259480091]
L_FootBall_Guide;[8.61499309539795, 4.560512542724609, -43.29175567626953];[90.0, 0.9276362945477764, -89.99999999999999]
L_Hip_Guide;[8.61499309539795, 58.679107666015625, -34.45416259765625];[89.99999999999999, -19.35434344827175, -89.99999999999999]
L_Knee_Guide;[8.61499309539795, 35.08856201171875, -26.167743682861328];[90.00000000000004, 45.11704891169666, -90.00000000000003]
L_Shoulder_Guide;[7.34579, 50.536, 38.3975];[90.0, 26.32205828424682, -97.75917923216944]
L_Wrist_Guide;[9.46191, 13.611599999999996, 34.89300000000001];[90.00000000000178, -16.659621686642808, -88.87402594800915]
R_Ankle_Guide;[-8.61499309539795, 18.25520896911621, -43.07001495361328];[90.0, 0.9276362945477764, -89.99999999999999]
R_Elbow_Guide;[-9.82939306292118, 32.30863841771464, 29.296918869018555];[90.00000000000043, -16.659621686642836, -88.87402594800913]
R_FootBall_Guide;[-8.61499309539795, 4.560512542724609, -43.29175567626953];[90.0, 0.9276362945477764, -89.99999999999999]
R_Hip_Guide;[-8.61499309539795, 58.679107666015625, -34.45416259765625];[89.99999999999999, -19.35434344827175, -89.99999999999999]
R_Knee_Guide;[-8.61499309539795, 35.08856201171875, -26.167743682861328];[90.00000000000004, 45.11704891169666, -90.00000000000003]
R_Shoulder_Guide;[-7.345788478851318, 50.53596496582031, 38.39748001098633];[90.0, 26.322058284246822, -97.75917923216944]
R_Wrist_Guide;[-9.461912139530034, 13.611586415761511, 34.893024444580064];[90.00000000000043, -16.659621686642836, -88.87402594800913]
